"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"gua udah seminggu lebih nyoba daftar npwp, sampe sekarang masih gabisa","25","9","2025-02-13T10:33:11.000Z","caringinsadangserang","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6701771218153964546","7470849657184600837","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b1b9adf3f88c2fded49b02e38642fede~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=89f47d56&x-expires=1764061200&x-signature=kxpilO2JXiQAjhT08p0wnoQ%2Fv2c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"alah rakyat udah sdar kenapa apple ogah invest ke indonesia","58","0","2025-02-13T08:43:29.000Z","anti.komunis7","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7436795157766358023","7470821531666055954","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5266904e03d016957690b30fe7614d20~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d3bfcd2d&x-expires=1764061200&x-signature=0APvwx%2BF235EYfPfG9R7HZJyUL8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"alasan mengapa anynoumus dan programer lainya tidak berurusan dengan pemerintah adalah...we know your mind dude.","10","3","2025-02-13T12:03:40.000Z","luciferheriaki","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7470231641391121416","7470873062662259461","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/41738fcc0b4f1173c4a1bec96f1dd16f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=08820b42&x-expires=1764061200&x-signature=BuVnxj1RNRROwEeilZ2xbqvlDBw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"thn 2022 aku belajar brevet tujuan nya biar paham alur pajak dan dasar2nya.. makanya abs itu sejujurnya aku setting penghasilan agar ga kena pajak ato meminimalisir dgn cara elegan dan legal,","38","16","2025-02-13T08:24:55.000Z","visual.safety","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6855859953468113921","7470816770829632257","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/38264838f887600123b1a06c051bfc04~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e0b749fe&x-expires=1764061200&x-signature=Nf%2FDoz8EF8vNiJNQhsyKh5IIUbA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"gw mw bayar ebiling bln januari 2025 ga muncul pilihan thn 2025 nya , pdhal thun maren aman2 aja apa pengaruh blm lapor spt?","9","0","2025-02-13T08:14:33.000Z","justwood79","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7245375701409678354","7470814094196097799","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/4f42ed47b75606145476a26f40b03657~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=08fcc6f7&x-expires=1764061200&x-signature=Y5oZjVUMLIO53qoeC6Z4jQKHn38%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"pencarian gw core tax 2025 ngakak","96","0","2025-02-13T13:45:34.000Z","iqbal_tongsarewae","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6985248558740112386","7470899382142960402","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5084ef120fa252391ba2ea798603d894~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=802d6471&x-expires=1764061200&x-signature=bvGKzShGPaNuwZTMmB3%2FybJcb%2F8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"jam 9 malem baru lancar koohh😭😭😭","5","4","2025-02-13T15:04:11.000Z","obinomoto","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6526412205317980161","7470919683890397953","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3edb541f6a6920e7a81bbe2cf6148eee~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e06e9d72&x-expires=1764061200&x-signature=7lYdP2vXcsPXFP%2F8b0kbVYFTANI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"udah 3hari faktur pajak error, faktur pajak udh Approved tiba2 berubah jadi saved invalid.. Allahu Akbar😭","11","6","2025-02-13T13:30:44.000Z","gimmeyeline","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7036648984765629446","7470895608284463892","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3a0e7c0522a007f512c087ea64c6780b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e8b65cf6&x-expires=1764061200&x-signature=sKu03L33ZCd%2Bn3urN2nKfnD3gSo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"apps 1,3T kek heeuhhh 🗿","2","0","2025-02-25T16:47:58.000Z","yslabcde","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6873103846676153346","7475399432009679623","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/1a04136cd40d651da998851ecd34f539~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9035029&x-expires=1764061200&x-signature=MAPNfUXbYBm%2Fyrpe0aTDY5CiBbk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Semakin frustasi dng negara ini yg dibuat amburadul oleh pejabat2 yg selalu kerjaannya mmpersulit rakyat","2","0","2025-03-05T16:59:02.000Z","herugiri","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6860817838128923650","7478370975014126344","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/b782c8b3ad2aeafb612c10df1770a09b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6d7ddb25&x-expires=1764061200&x-signature=CF6%2FB%2BxkMlhXlrJj4EE5mN%2F8iNo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"sumpah aplikasi, sistem, orang pajak semuanya ngeselinnnn, ini kita mau bayar pajak lhooooo😭","2","0","2025-02-25T16:45:21.000Z","he52236","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7032981674690577434","7475398771858703122","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/698b5273945701b411adfd9fe186c037~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=14b2d081&x-expires=1764061200&x-signature=aumGxNQRIaZuofmJyJyMwOfXtJg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"Harua shif berapa lagi sih untuk login wkwkkwwk","2","0","2025-02-21T03:30:16.000Z","batakdalefamily","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6782419112485749762","7473709517596607240","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/040227029a1b0d4760f3e0dd2e72a811~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9bf13aa&x-expires=1764061200&x-signature=cUOjls1TNtOdperWS3olADr2Hxk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"itu masuk ke developer paling 10 juta😂","2","0","2025-02-15T02:49:12.000Z","jiangsuw","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6913769536907641858","7471472390360302352","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3e6024b6120bbbfa924b5af25d350763~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6ceb72b2&x-expires=1764061200&x-signature=UPw8T%2B6apaYe8BuYCza%2BMxm9ZUs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8"
"bete nya buka kortek tuh bisa sampe berhari² krn harus bolak balik nyoba 😭😭","2","0","2025-02-16T02:30:45.000Z","nanainaja","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6876327760051700738","7471838766999831304","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/bf1f01d9be00ed1ea713c9cca1de9c3c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cacf5a76&x-expires=1764061200&x-signature=0DnBwhnSVzRfpzcuFM%2BBBNlRLrU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"haaaaa?? coretax??? 1.3t? random url , ngix, apalagi 404 not found. gimana yah. 500rb di saya aja sudah profesional website banget☹️","0","0","2025-11-23T11:01:24.000Z","webdevkaltara.id","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7549934703333164052","7575874228227654407","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7638f8606f2dff5f85a6ce7f009b4a19~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e9894647&x-expires=1764061200&x-signature=8t3J82jd6rMjxzr%2BjFyVbRJPJyg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"ladang korupsi 😂😂😂","0","0","2025-09-23T14:11:21.000Z","mr.queen2901","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6926502073102599169","7553287004268757767","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/38e0091a6ca8185203f83ca70fca5cae~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1e5546cb&x-expires=1764061200&x-signature=e4pn7y1jh3T3hECUfBPHVfgekMg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"Semua applikasi atau website dri pemerintah sering error dan tampilan UI jelek banget 😑","1049","14","2025-02-13T10:19:45.000Z","antontnz","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6881520779801166849","7470846371001107208","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2b0b6976ac60d64167c45f415a5b4435~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7a23ed00&x-expires=1764061200&x-signature=NjOiS9edIlSN0Uw%2F4xsphwJKAzs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"Jangan heran indonesia","404","6","2025-02-13T09:42:48.000Z","ervandhika","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7217491064575116314","7470836824984060680","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b4e7e9580da93770dd515536fe6a0a63~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7060f176&x-expires=1764061200&x-signature=JtyylxzXXN2nZAb9gw%2FnbiUCcN8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"core tax pimpinannya siapa? dana gede, it terbaik itu dari India?","1","2","2025-09-23T04:02:47.000Z","erma.octaviani","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7117808071875740673","7553130151518552852","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/07eefe3f08b5861f13a7dc4164874760~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4f27b915&x-expires=1764061200&x-signature=tjs0OyvKRy3Er%2B%2Fq0ilQ9izu4Jc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"Raymond, coba pagi kisaran jam 6 sampai 8 pagi, ceo gw kalo approved FP sekitaran jam segitu lancar info nya","1","9","2025-02-13T16:27:43.000Z","katanya_pisces","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6784829870712652802","7470941196565725960","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9d082b718cbacc79c0017fdef5c7ec20~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8f4f8d8b&x-expires=1764061200&x-signature=TRroR%2BSDeWxPzV5Mle8XkiVxLwo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"bertanya tanya ???????","1","1","2025-09-19T16:43:47.000Z","xsurya14","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6796214898135319553","7551841905795187472","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/27fdc6bfab666e7c6f2afef89052030c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f2f2865b&x-expires=1764061200&x-signature=wdrsrRIy2Mq4aQBSiylePxVbIu0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"terbukti sekarang sama Menteri purbaya...ternyata cuman buatan selevel anak sma ...1, 3 T nya Raib entah syetan mana yg makan","0","0","2025-10-25T14:47:34.000Z","dso981","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7537236479493391378","7565171065727877906","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/413a96a4e3e9c80ef499453c9108bb44~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ea22f54e&x-expires=1764061200&x-signature=R142a9%2FBtlFQEnFox9uZZgYd4%2BE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"dana segitu bisa membuat aplikasi deepseek atau ChatGPT","4","0","2025-02-13T09:42:30.000Z","vortex2031","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7152113469759472667","7470836724916585236","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/25254c4f257179db8408a5bc9c21414c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ebefb92d&x-expires=1764061200&x-signature=gpQMJKq5AkWPOApy%2B1rT5ot%2B1h8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"aku pemula mau bikin npwp rasanya emosi terus 🙂","3","1","2025-02-15T11:58:37.000Z","bluebyy98","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6745057661526213634","7471614018928116487","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0723facdf0b8a90ca9bb6a4612eb605f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=94414547&x-expires=1764061200&x-signature=ySU3vVX0AhxhOkiXPzNzaa%2B51i4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"bayangin yg harusnya pegawe yg ngurus, skrg direktur mesti turun tangan juga…… jadi mau gamau gw minta akun direktur gw 😭😭😭","2","3","2025-02-13T14:53:38.000Z","whatsanjiloves","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6848562693046748161","7470916867877241606","https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/cbb72fd31b1b89a5355713c35cde72ce~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=43937d48&x-expires=1764061200&x-signature=eH68nszUjq0jQ2vaT%2Brf4QViXsk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"kalau sistemnya lancar, bayar pajak juga nggak ribet, jadi ekonomi jalan terus tanpa hambatan!","4","0","2025-02-14T09:16:33.000Z","teh.suci72","https://www.tiktok.com/@raymondchins/video/7470807249930226999","7465274512407184402","7471201176127226631","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/d4ac328532690c926e6b169c7e5c700f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a9269f7b&x-expires=1764061200&x-signature=gyIynD0H5vXkbyO1DzX%2FBsN3Xao%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"kalau telat bayar pajak ada denda nya ngga bro? dari situ terjawab kok 😁","4","1","2025-02-13T10:09:30.000Z",".paparafa99","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6900150384972858373","7470843711221678849","https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2f74636266ec601d78dbee5b7baff3be~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8f801d39&x-expires=1764061200&x-signature=gHYuOCPOH1hmO1ttKL3%2F40ipQfw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=maliva"
"knp gak Lo aja yg buat bro 😂😂😂","11","453","2025-02-13T09:52:52.000Z","ctrfbri","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6839732458800645121","7470839414450946834","https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/5f4cc8e0f2e34d4632248db6faa4392b~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=b15db67f&x-expires=1764061200&x-signature=S7n%2Bgenv2khkDwN4kpF9jQ07CdU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast2b"
"Jangan2, 1 T masuk ""kantong"". 300 jt untuk programnya.","0","1","2025-02-18T00:40:37.000Z","lancernoceng","https://www.tiktok.com/@raymondchins/video/7470807249930226999","6960466021401609217","7472552482397618951","https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7327421893181440001~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=8bb44051&x-expires=1764061200&x-signature=GUbptxpL0QDwY4ji3mwV8GvgFbE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast2b"
